Time,V(OUT1),
0.00247,-0.6142459520912554,
0.00248,-0.6385699307733333,
0.00249,-0.666274947698533,
0.0025,-0.6971335146171541,
0.00251,-0.7308804918245827,
0.00252,-0.767215121517639,
0.00253,-0.8058033425934252,
0.00254,-0.8462803700383287,
0.00255,-0.8882535201291784,
0.00256,-0.9313052608768119,
0.00257,-0.9749964654973027,
0.00258,-1.0188698452092868,
0.00259,-1.0624535363381564,
0.0026,-1.1052648155685314,
0.00261,-1.1468139162334705,
0.00262,-1.186607917769429,
0.00263,-1.2241546799051115,
0.00264,-1.2589667927944392,
0.00265,-1.2905655141512669,
0.00266,-1.3184846644975512,
0.00267,-1.342274451896854,
0.00268,-1.3615051980098785,
0.00269,-1.3757709379747753,
0.0027,-1.3846928674775416,
0.00271,-1.3879226114311123,
0.00272,-1.3851452899181653,
0.00273,-1.376082358463597,
0.00274,-1.3604942012781946,
0.00275,-1.3381824578440247,
0.00276,-1.3089920650824491,
0.00277,-1.272812999344216,
0.00278,-1.2295817045735695,
0.00279,-1.1792821952100836,
0.0028,-1.1219468246871562,
0.00281,-1.0576567127487122,
0.00282,-0.9865418272188727,
0.00283,-0.9087807183062622,
0.00284,-0.824599905987764,
0.00285,-0.7342729234786262,
0.00286,-0.6381190222394361,
0.00287,-0.5365015463782326,
0.00288,-0.4298259866610545,
0.00289,-0.31853772662966034,
0.0029,-0.2031194955250411,
0.00291,-0.08408854481374359,
0.00292,0.03800643290334513,
0.00293,0.162588621968171,
0.00294,0.28905661638797825,
0.00295,0.41678814330920255,
0.00296,0.5451439519620355,
0.00297,0.673471841584559,
0.00298,0.8011108008099495,
0.00299,0.9273952301674503,
0.003,1.0516592187130736,
0.00301,1.1732408453745542,
0.00302,1.291486475369532,
0.00303,1.405755022038292,
0.00304,1.5154221446228635,
0.00305,1.6198843529215088,
0.00306,1.7185629903490796,
0.00307,1.810908067735264,
0.00308,1.8964019211886143,
0.00309,1.9745626685380635,
0.0031,2.044947440226503,
0.00311,2.107155362063981,
0.00312,2.160830268940258,
0.00313,2.2056631304359846,
0.00314,2.2413941712459273,
0.00315,2.2678146714225154,
0.00316,2.284768433649079,
0.00317,2.292152907043757,
0.00318,2.289919959361538,
0.00319,2.278076291886298,
0.0032,2.2566834937703524,
0.00321,2.225857735068434,
0.00322,2.185769100208828,
0.00323,2.136640566129119,
0.00324,2.078746631760144,
0.00325,2.012411607952288,
0.00326,1.9380075792858829,
0.00327,1.8559520514763144,
0.00328,1.766705300257955,
0.00329,1.6707674396945127,
0.0033,1.5686752298019735,
0.00331,1.460998645170648,
0.00332,1.3483372279221981,
0.00333,1.2313162498242651,
0.00334,1.1105827096993564,
0.00335,0.9868011933962143,
0.00336,0.8606496245336535,
0.00337,0.7328149349717672,
0.00338,0.6039886845085299,
0.00339,0.47486265963722335,
0.0034,0.34612448132945656,
0.00341,0.21845325172916827,
0.00342,0.09251526935492349,
0.00343,-0.031040158086057736,
0.00344,-0.15158477486583463,
0.00345,-0.2685152848739897,
0.00346,-0.3812570793008809,
0.00347,-0.48926775921092436,
0.00348,-0.5920404292959518,
0.00349,-0.6891067407088568,
0.0035,-0.7800396626409113,
0.00351,-0.8644559642107833,
0.00352,-0.9420183902652168,
0.00353,-1.0124375168367683,
0.00354,-1.0754732742477024,
0.00355,-1.1309361281751893,
0.00356,-1.1786879113852757,
0.00357,-1.2186423012845886,
0.00358,-1.2507649409124213,
0.00359,-1.2750732034843733,
0.0036,-1.2916356030843623,
0.00361,-1.3005708565674252,
0.00362,-1.3020466041637924,
0.00363,-1.2962777986482372,
0.00364,-1.2835247752410595,
0.00365,-1.2640910166220456,
0.00366,-1.2383206295508769,
0.00367,-1.2065955515819204,
0.00368,-1.1693325082241326,
0.00369,-1.1269797426149015,
0.0037,-1.0800135413380936,
0.00371,-1.0289345814103061,
0.00372,-0.9742641246758448,
0.00373,-0.9165400868815108,
0.00374,-0.8563130095399099,
0.00375,-0.7941419633289534,
0.00376,-0.7305904122107857,
0.00377,-0.6662220676829411,
0.00378,-0.6015967625964587,
0.00379,-0.5372663737897193,
0.0038,-0.47377082239481777,
0.00381,-0.4116341800775759,
0.00382,-0.35136090867778125,
0.00383,-0.29343225972811293,
0.00384,-0.23830285915590446,
0.00385,-0.18639750111950584,
0.00386,-0.13810817341046708,
0.00387,-0.09379133517459146,
0.00388,-0.053765465881285314,
0.00389,-0.018308902514433376,
0.0039,0.012342020117057123,
0.00391,0.03799451322965318,
0.00392,0.05850055162479082,
0.00393,0.07375775684570451,
0.00394,0.08370994021538725,
0.00395,0.08834730247427663,
0.00396,0.08770628919257653,
0.00397,0.08186910359275518,
0.00398,0.07096288086525306,
0.00399,0.0551585304773527,
0.004,0.03466925534461952,
0.00401,0.009748759039374548,
0.00402,-0.019310845564918615,
0.00403,-0.052181410686444274,
0.00404,-0.0885013935214908,
0.00405,-0.12787874219003845,
0.00406,-0.1698940065542304,
0.00407,-0.21410365112278174,
0.00408,-0.26004354581693545,
0.00409,-0.30723260910844813,
0.0041,-0.35517657695736576,
0.00411,-0.40337187008347963,
0.00412,-0.4513095314079833,
0.00413,-0.4984792050042512,
0.00414,-0.5443731276042423,
0.00415,-0.5884901036199748,
0.00416,-0.6303394347598812,
0.00417,-0.6694447756458893,
0.00418,-0.7053478873667685,
0.00419,-0.7376122616330003,
0.0042,-0.7658265891225498,
0.00421,-0.7896080467194957,
0.00422,-0.808605379639954,
0.00423,-0.8225017559035711,
0.00424,-0.831017372233164,
0.00425,-0.8339117922387399,
0.00426,-0.8309859996522709,
0.00427,-0.8220841514129236,
0.00428,-0.8070950175443555,
0.00429,-0.7859530970011794,
0.0043,-0.758639400974771,
0.00431,-0.7251818975229859,
0.00432,-0.6856556138072133,
0.00433,-0.6401823946663383,
0.00434,-0.5889303187132093,
0.00435,-0.532112775588097,
0.00436,-0.46998721042730784,
0.00437,-0.4028535439873173,
0.00438,-0.3310522791876137,
0.00439,-0.25496230708352463,
0.0044,-0.17499842743645344,
0.00441,-0.0916086010993198,
0.00442,-0.005270953363342141,
0.00443,0.08350945079317972,
0.00444,0.1742040369673939,
0.00445,0.26626433303150826,
0.00446,0.35912573687809274,
0.00447,0.45221141368130563,
0.00448,0.5449362951937294,
0.00449,0.6367111528414583,
0.0045,0.7269467158230918,
0.00451,0.8150578050648032,
0.00452,0.9004674537357964,
0.00453,0.982610985088747,
0.00454,1.0609400186560396,
0.00455,1.1349263763049011,
0.00456,1.204065860327752,
0.00457,1.2678818766154156,
0.00458,1.3259288770223048,
0.00459,1.377795596278864,
0.0046,1.4231080602267001,
0.00461,1.4615323437377588,
0.00462,1.49277705841827,
0.00463,1.516595552079362,
0.00464,1.5327878039658236,
0.00465,1.5412020018584578,
0.00466,1.5417357893887746,
0.00467,1.534337174211708,
0.00468,1.5190050900567618,
0.00469,1.4957896081031659,
0.0047,1.464791795583754,
0.00471,1.4261632219977027,
0.00472,1.380105115786604,
0.00473,1.3268671767843645,
0.00474,1.26674605217133,
0.00475,1.2000834860305472,
0.00476,1.127264154901493,
0.00477,1.0487132039388167,
0.00478,0.964893500393955,
0.00479,0.876302623132043,
0.0048,0.7834696087603285,
0.00481,0.6869514766649591,
0.00482,0.5873295568177377,
0.00483,0.4852056456124843,
0.00484,0.3811980162124312,
0.00485,0.27593731092591933,
0.00486,0.1700623439717779,
0.00487,0.064215843640352,
0.00488,-0.04095983670145581,
0.00489,-0.1448270090777753,
0.0049,-0.24675691313256473,
0.00491,-0.346133920589577,
0.00492,-0.44235965280079925,
0.00493,-0.534856982833488,
0.00494,-0.623073894337951,
0.00495,-0.7064871704261741,
0.00496,-0.7846058869658942,
0.00497,-0.8569746860502083,
0.00498,-0.9231768069272637,
0.00499,-0.9828368533593019,
