Time,V(OUT1),V(NODE4),
0.00332,-0.7660732283041705,-0.7200000000000006,
0.00333,-0.7495271897876067,-0.6800000000000015,
0.00334,-0.7034558404052982,-0.6400000000000006,
0.00335,-0.6308862155098711,-0.6000000000000014,
0.00336,-0.5455917666722182,-0.5600000000000005,
0.00337,-0.4661729889274872,-0.5199999999999996,
0.00338,-0.40833973677466034,-0.4800000000000004,
0.00339,-0.37856533416654253,-0.4400000000000013,
0.0034,-0.37165121121391176,-0.40000000000000213,
0.00341,-0.3731055466792954,-0.360000000000003,
0.00342,-0.36527587721571736,-0.3200000000000003,
0.00343,-0.33467642862922814,-0.28000000000000114,
0.00344,-0.2775086604378826,-0.2400000000000002,
0.00345,-0.20114863553201748,-0.20000000000000107,
0.00346,-0.12103838643743618,-0.16000000000000192,
0.00347,-0.054290057511344275,-0.120000000000001,
0.00348,-0.012635363496972588,-0.08000000000000185,
0.00349,0.0023996388547205213,-0.03999999999999915,
0.0035,0.000134944481152989,0,
0.00351,-0.003057578722525201,0.03999999999999915,
0.00352,0.009572149759827073,0.08000000000000007,
0.00353,0.048324329914448426,0.11999999999999922,
0.00354,0.11285455023913403,0.15999999999999837,
0.00355,0.19233041671487372,0.1999999999999993,
0.00356,0.26988703565987504,0.23999999999999844,
0.00357,0.32957347479531673,0.2799999999999976,
0.00358,0.36295443962910245,0.3199999999999985,
0.00359,0.3726527365984247,0.35999999999999766,
0.0036,0.3713479830021494,0.3999999999999986,
0.00361,0.3765953674734288,0.4399999999999995,
0.00362,0.40354937632272764,0.4800000000000004,
0.00363,0.45856854206286474,0.5199999999999996,
0.00364,0.5363632045892505,0.5599999999999987,
0.00365,0.6219375388005925,0.5999999999999996,
0.00366,0.6966256365428024,0.6399999999999988,
0.00367,0.7458153902622896,0.6799999999999979,
0.00368,0.7651959212396274,0.7200000000000006,
0.00369,0.7628872698097111,0.7599999999999998,
0.0037,0.7564351175129376,0.8000000000000007,
0.00371,0.7657458495995981,0.8399999999999999,
0.00372,0.8047569128624316,0.879999999999999,
0.00373,0.8752683425668588,0.9199999999999999,
0.00374,0.9656064275349935,0.9599999999999991,
0.00375,1.0549050574166576,0.9999999999999982,
0.00376,1.1214981695572932,1.0399999999999991,
0.00377,1.1521356684381172,1.0799999999999983,
0.00378,1.1482150920779137,1.1199999999999974,
0.00379,1.126235929166465,1.1599999999999984,
0.0038,1.1119003518881376,1.1999999999999993,
0.00381,1.1298702609334415,1.2400000000000002,
0.00382,1.1931213954313253,1.2799999999999994,
0.00383,1.2962928108146292,1.3199999999999985,
0.00384,1.4161372268172407,1.3599999999999994,
0.00385,1.5195358267019892,1.3999999999999986,
0.00386,1.5765079253578467,1.4399999999999995,
0.00387,1.5733918597243597,1.4800000000000004,
0.00388,1.5208382617668461,1.5199999999999996,
0.00389,1.4527742487836115,1.5599999999999987,
0.0039,1.4156333706721331,1.5999999999999979,
0.00391,1.450823811565972,1.6400000000000006,
0.00392,1.5762777644021257,1.6799999999999997,
0.00393,1.7738602791197937,1.7199999999999989,
0.00394,1.9879400540434393,1.7599999999999998,
0.00395,2.136920032833012,1.8000000000000007,
0.00396,2.135131889374532,1.839999999999998,
0.00397,1.9187297356221937,1.8799999999999955,
0.00398,1.467431598092179,1.9199999999999982,
0.00399,0.8148607578108109,1.9599999999999973,
0.004,0.04362145739227715,-2,
0.00401,-0.7339752056883223,-1.9600000000000009,
0.00402,-1.4040261270464511,-1.9200000000000017,
0.00403,-1.8796249103786082,-1.8800000000000026,
0.00404,-2.121404378716491,-1.8399999999999999,
0.00405,-2.144116176375873,-1.8000000000000007,
0.00406,-2.0078072707875028,-1.759999999999998,
0.00407,-1.7969931523711227,-1.7200000000000024,
0.00408,-1.5948209823812785,-1.6799999999999997,
0.00409,-1.4604079181941625,-1.6400000000000006,
0.0041,-1.416018977782836,-1.6000000000000014,
0.00411,-1.4471340341514651,-1.5599999999999987,
0.00412,-1.5140537944946364,-1.5199999999999996,
0.00413,-1.5700332143938944,-1.4800000000000004,
0.00414,-1.5792085036320647,-1.4400000000000048,
0.00415,-1.5282730468957475,-1.4000000000000021,
0.00416,-1.4285678025437822,-1.360000000000003,
0.00417,-1.3089066154347622,-1.3200000000000003,
0.00418,-1.202707841062286,-1.2800000000000011,
0.00419,-1.1347240825882072,-1.2399999999999984,
0.0042,-1.1123397460201316,-1.2000000000000028,
0.00421,-1.1242973833962948,-1.1600000000000001,
0.00422,-1.1467091690655224,-1.120000000000001,
0.00423,-1.1534760974493723,-1.0800000000000018,
0.00424,-1.1267735410897595,-1.0399999999999991,
0.00425,-1.0635373223770117,-1,
0.00426,-0.9756914320092944,-0.9600000000000009,
0.00427,-0.8844227172091493,-0.9199999999999982,
0.00428,-0.8111078528899892,-0.8800000000000026,
0.00429,-0.7686637849770389,-0.8399999999999999,
0.0043,-0.7567307656682108,-0.8000000000000007,
0.00431,-0.7624195389363201,-0.7600000000000016,
0.00432,-0.7660732283041671,-0.7199999999999989,
0.00433,-0.7495271897876141,-0.6800000000000033,
0.00434,-0.7034558404053025,-0.6400000000000006,
0.00435,-0.6308862155098776,-0.600000000000005,
0.00436,-0.5455917666722144,-0.5600000000000023,
0.00437,-0.46617298892749676,-0.5200000000000031,
0.00438,-0.40833973677466406,-0.4800000000000004,
0.00439,-0.37856533416654436,-0.4400000000000013,
0.0044,-0.3716512112139168,-0.3999999999999986,
0.00441,-0.37310554667929985,-0.360000000000003,
0.00442,-0.3652758772157247,-0.3200000000000003,
0.00443,-0.33467642862923025,-0.28000000000000114,
0.00444,-0.2775086604378802,-0.23999999999999844,
0.00445,-0.20114863553201867,-0.20000000000000284,
0.00446,-0.1210383864374327,-0.16000000000000014,
0.00447,-0.05429005751134306,-0.120000000000001,
0.00448,-0.012635363496979036,-0.08000000000000185,
0.00449,0.0023996388547202095,-0.03999999999999915,
0.0045,0.0001349444811576699,-3.552713678800501e-15,
0.00451,-0.003057578722524922,0.03999999999999915,
0.00452,0.009572149759828188,0.0799999999999983,
0.00453,0.04832432991444474,0.120000000000001,
0.00454,0.11285455023912805,0.1599999999999966,
0.00455,0.19233041671486503,0.1999999999999993,
0.00456,0.2698870356598766,0.23999999999999844,
0.00457,0.32957347479531834,0.28000000000000114,
0.00458,0.362954439629109,0.31999999999999673,
0.00459,0.37265273659843373,0.35999999999999943,
0.0046,0.37134798300215005,0.3999999999999986,
0.00461,0.3765953674734311,0.4400000000000013,
0.00462,0.4035493763227275,0.4800000000000004,
0.00463,0.45856854206285863,0.519999999999996,
0.00464,0.5363632045892439,0.5599999999999987,
0.00465,0.6219375388005863,0.5999999999999979,
0.00466,0.6966256365428071,0.639999999999997,
0.00467,0.7458153902622912,0.6799999999999997,
0.00468,0.7651959212396358,0.7199999999999989,
0.00469,0.7628872698097083,0.759999999999998,
0.0047,0.7564351175129341,0.8000000000000007,
